pub_number,cit_number
US-2019079434-A1,US-2017343918-A1
US-2019156944-A1,US-2016081620-A1
US-2019085380-A1,US-2012316074-A1
US-2019085380-A1,US-2012220494-A1
US-2019086931-A1,US-2012085149-A1
US-2019082063-A1,US-2007029701-A1
US-2019081383-A1,US-2007025270-A1
US-2019071701-A1,US-6949645-B1
US-2019071701-A1,US-6579985-B1
US-10377510-B1,US-6496406-B1
US-2019071701-A1,US-6204337-B1
US-10377510-B1,US-5529264-A
US-2019086931-A1,US-5467122-A
US-2019144760-A1,US-2015111799-A1
US-2019096947-A1,US-2015028405-A1
US-2019081498-A1,US-2014028110-A1
US-2019088370-A1,US-2013307918-A1
US-2019101954-A1,US-2014118829-A1
US-2019079705-A1,US-2013033727-A1
US-2019080726-A1,US-2012039112-A1
US-10392191-B1,US-9120628-B2
US-2019101983-A1,US-2011105978-A1
US-2019081564-A1,US-2010060250-A1
US-2019079740-A1,US-2009106011-A1
US-2019164692-A1,US-2009281224-A1
US-2019101954-A1,US-2008049152-A1
US-2019086304-A1,US-2009133469-A1
US-10392191-B1,US-7232030-B2
US-2019153020-A1,US-2006044391-A1
US-2019076065-A1,US-2005027537-A1
US-2019145095-A1,US-6725470-B2
US-10390982-B1,US-6468298-B1
US-2019165119-A1,US-6365932-B1
US-2019078595-A1,US-6302280-B1
US-2019077311-A1,US-2017341573-A1
US-2019198653-A1,US-2017004743-A1
US-2019142573-A1,US-2017022447-A1
US-2019081423-A1,US-2013242099-A1
US-2019098431-A1,US-8767968-B2
US-2019079254-A1,US-2011064358-A1
US-2019078412-A1,US-2009090515-A1
US-2019096653-A1,US-8013292-B2
US-2019079419-A1,US-2004026380-A1
US-10366834-B1,US-5339068-A
US-2019079254-A1,US-5408552-A
US-2019080770-A1,US-4896298-A
US-2019133127-A1,US-2016183528-A1
US-2019113206-A1,US-2017292682-A1
US-2019079271-A1,US-2016017887-A1
US-2019094820-A1,US-2016282825-A1
US-10373759-B1,US-2015243439-A1
US-2019079271-A1,US-9279958-B2
US-2019149399-A1,US-9280375-B1
US-2019133127-A1,US-2015004109-A1
US-2019079271-A1,US-2014036893-A1
US-2019086958-A1,US-2012149437-A1
US-2019071111-A1,US-2011018100-A1
US-2019082487-A1,US-2009011773-A1
US-2019082488-A1,US-2009011773-A1
US-10373759-B1,US-2009218353-A1
US-2019077161-A1,US-2011069126-A1
US-2019097533-A1,US-2007001332-A1
US-2019080563-A1,US-2004242329-A1
US-2019069897-A1,US-5507426-A
US-2019146077-A1,US-2017012648-A1
US-10342889-B1,US-2018028953-A1
US-2019081002-A1,US-2016056102-A1
US-2019146075-A1,US-2015031287-A1
US-2019079891-A1,US-2014365699-A1
US-2019082095-A1,US-2011063440-A1
US-2019079891-A1,US-2009063895-A1
US-2019077677-A1,US-2008311428-A1
US-2019070739-A1,US-2008017287-A1
US-2019082523-A1,US-2010029628-A1
